L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000258864	0	2.948	0	0	0	0	0	0
ENSG00000258870	0	4	1	0	3	0	2	1
ENSG00000258872	2	1	7	2	5	2	1	1
ENSG00000258873	0	0	0	0	0	0	0	0
ENSG00000258877	0	0	0	0	0	0	0	0
ENSG00000258878	10	15	6	13	18	29	32	0
ENSG00000258880	0	2	0	0	0	0	0	0
ENSG00000258881	1.044	2.137	0	4.271	1.04	3.158	2.109	2.058
ENSG00000258883	0	0	0	0	0	0	0	0
ENSG00000258886	1	0	1	2	2	3	0	1.281
ENSG00000258887	0	0	0	0	0	0	0	0
ENSG00000258890	941.322	1220.858	1261.729	1618.697	1032.812	1390.573	1209.056	1262.809
ENSG00000258893	0	0	0	3.003	0	0	0	1.001
ENSG00000258894	0	0	0	0	0	0	0	0
ENSG00000258895	0	0	0	0	0	0	0	1.007
ENSG00000258896	1	1	5	2	3	4	3	3
ENSG00000258899	0	0	0	0	0	0	0	0
ENSG00000258900	0	6.359	15.243	12.139	22.087	12.011	0	15.337
ENSG00000258901	0	0	0	0	0	0	0	0
ENSG00000258905	0	0	0	0	0	0	0	0
ENSG00000258906	0	0	0	0	0	0	0	0
ENSG00000258907	0	4	0	0	4	0	0	1
ENSG00000258915	0	0	0	0	0	0	1	0
ENSG00000258916	0	0	0	0	0	0	0	0
ENSG00000258917	5	4	8	7	10	9	4	2
ENSG00000258923	0	0	0	0	0	0	0	0
ENSG00000258925	1.007	3.036	0	3.041	3.038	2.021	1.008	0
ENSG00000258930	0	0	0	0	2	1	2	2
ENSG00000258932	6	6	7.176	9.281	7.032	6.142	8	6.22
ENSG00000258934	0	0	0	0	0	0	0	0
ENSG00000258947	57.007	20.377	62.164	81.006	116.934	29.603	29.517	20.266
ENSG00000258948	0	0	0	0	0	0	0	0
ENSG00000258951	9	11	8	13	19	9	7	10
ENSG00000258956	0	0	0	0	0	0	0	0
ENSG00000258959	0	0	0	0	1.025	0	0	0
ENSG00000258960	0	0	0	0	0	0	0	0
ENSG00000258962	1	0	0	1	1	0	0	0
ENSG00000258963	0	0	0	0	0	0	0	0
ENSG00000258965	0	0	0	0	0	0	0	0
ENSG00000258966	1	2	0	0	0	0	0	1
ENSG00000258967	0	0	0	0	0	0	0	0
ENSG00000258968	2	2	6	4	3	3	4	0
ENSG00000258971	0	0	0	0	0	0	0	0
ENSG00000258972	0	0	1	0	0	0	0	0
ENSG00000258978	0	0	1	0	0	0	0	0
ENSG00000258980	0	2	0	1	2	3	2	0
ENSG00000258981	0	0	0	0	0	0	0	0
ENSG00000258984	0	2	3.059	40.195	0	4.728	8.463	6.799
ENSG00000258986	0	0	0	0	0	0	0	0
ENSG00000258988	1.011	1.01	1.385	3.086	1.409	1.404	0	1.173
ENSG00000258989	1.537	1.547	7.411	1.535	7.589	4.094	1.326	1.357
ENSG00000258990	0	0	0	0	0	0	0	0
ENSG00000258991	0	0	0	0	0	0	0	0
ENSG00000258992	0	0	0	0	0	0	0	0
ENSG00000258993	4	1	4	5	4	2	0	1
ENSG00000258995	0	0	0	0	0	0	0	0
ENSG00000258996	0	0	0	0	0	0	0	0
ENSG00000258997	0	0	0	0	0	0	0	0
ENSG00000259000	1.007	0	0	0	0	0	0	0
ENSG00000259009	0	0	0	0	0	0	0	0
ENSG00000259010	0	0	1.012	0	1.011	0	0	0
ENSG00000259012	0	0	0	0	0	0	0	0
ENSG00000259013	1	0	0	1	2	2	1	0
ENSG00000259015	4.124	0	4	11.605	14.002	4	9.185	6.93
ENSG00000259016	0	0	0	0	0	0	0	0
ENSG00000259019	0	0	0	0	0	0	0	0
ENSG00000259020	2.007	4.012	6.026	5.02	3.01	3.012	9.025	5.019
ENSG00000259021	0	0	0	0	0	0	0	0
ENSG00000259022	0	1.005	0	1.005	0	0	0	0
ENSG00000259024	284.571	99.214	171.817	232.422	45.824	38.463	27.779	133.444
ENSG00000259025	0	0	0	1	0	0	0	0
ENSG00000259029	0	0	0	0	0	0	0	0
ENSG00000259030	21.541	14.404	22.806	36.426	21.638	32.872	7.155	18.719
ENSG00000259032	0	0	1.283	0	0	0	1.277	0
ENSG00000259040	0	13.802	9.305	9.256	0	8.432	0	0
ENSG00000259043	0	0	0	0	0	0	0	0
ENSG00000259045	4	4	6	12	13	16	1769.175	9
ENSG00000259046	0	0	0	1	0	0	0	0
ENSG00000259047	0	0	0	0	0	0	0	0
ENSG00000259050	1	1.001	1	0	0	0	0	0
ENSG00000259051	1.014	1.02	0	0	1.01	2.047	2.049	0
ENSG00000259056	0	0	0	1	0	1	2	1
ENSG00000259057	0	0	0	0	0	0	0	0
ENSG00000259059	0	0	0	1	0	0	1	0
ENSG00000259060	0	0	0	0	0	0	0	0
ENSG00000259064	7	4.061	0	2	3	3.019	2	5
ENSG00000259066	4.481	2.843	4.809	3.024	3.499	1.224	2.774	5.263
ENSG00000259068	0	0	0	0	0	0	0	0
ENSG00000259074	0	0	0	0	0	0	0	0
ENSG00000259075	74.47	5.847	6.207	79.559	13.605	10.224	91.14	6.418
ENSG00000259078	28	47	13	39	39	80	39	6
ENSG00000259079	8.121	2.012	3.066	5.145	7.096	11.149	2.035	3.033
ENSG00000259086	0	0	0	2.732	0	0	0	0
ENSG00000259089	0	0	2	0	0	0	0	0
ENSG00000259090	3	0	1	1	2	5.002	1	3
ENSG00000259092	0	0	0	0	0	1	0	0
ENSG00000259095	0	0	0	0	0	0	0	0
ENSG00000259096	0	0	0	1.011	0	0	1.016	0
ENSG00000259098	0	0	0	0	0	0	0	0
ENSG00000259099	0	0	0	0	0	0	0	0
ENSG00000259100	5.01	4.194	12.022	11.034	5.01	5.034	2	6.023
ENSG00000259102	0	0	0	0	0	0	1.001	0
ENSG00000259105	0	0	1.001	0	0	0	1.001	0
ENSG00000259109	0	0	2	0	1	3	1	0
ENSG00000259112	5.358	2.01	0	3.494	18.949	2.326	12.345	12.365
ENSG00000259117	0	0	0	0	0	0	0	0
ENSG00000259120	9	21	22.002	26	7	5	8	21
ENSG00000259121	0	3	3	6	1	3	1	4
ENSG00000259122	0	0	0	0	0	0	0	0
ENSG00000259132	0	0	0	0	0	106.685	0	0
ENSG00000259136	0	0	0	1.002	0	0	0	0
ENSG00000259137	0	1.039	0	0	1.045	0	0	0
ENSG00000259140	0	0	0	0	0	0	0	0
ENSG00000259144	0	1.001	0	0	1.002	0	0	0
ENSG00000259148	0	0	0	0	0	0	0	0
ENSG00000259151	1	5	2	2	6	2	4	5
ENSG00000259154	0	0	0	0	0	0	1	0
ENSG00000259155	4	2	6.02	7	8	2	12	5
ENSG00000259156	0	0	0	0	0	2.037	0	0
ENSG00000259157	0	0	0	0	0	0	0	0
ENSG00000259158	8.741	19.071	19.715	26.36	7.878	23.21	4.184	15.202
ENSG00000259160	0	0	1	0	0	0	0	0
ENSG00000259161	0	1	0	2	1	1	0	0
ENSG00000259162	0	7	4	3	1	3	6	1
ENSG00000259164	0	0	0	0	0	0	1.009	0
ENSG00000259165	19.024	6.003	17.011	7.009	22.014	9.016	12.01	7.007
ENSG00000259167	0	0	0	1	0	0	0	0
ENSG00000259169	0	2.608	0	0	0	0	0	0
ENSG00000259171	0	0	50.254	73.606	0	17.572	0	0
ENSG00000259173	2	0	1	0	4	0	0	0
ENSG00000259179	0	0	0	0	0	0	0	0
ENSG00000259183	0	0	0	0	0	0	0	0
ENSG00000259186	1	0	0	0	0	0	0	0
ENSG00000259191	2	5	2	1	3	2	5	6
ENSG00000259192	0	3	6	3	6	1	3	3
ENSG00000259195	0	0	0	1	0	1	1	0
ENSG00000259205	39	74	97	70	8	19	114	83
ENSG00000259207	211	197	519	130	336	310.779	434.084	334.004
ENSG00000259208	0	0	0	0	0	0	0	0
ENSG00000259214	0	0	0	0	2	0	0	0
ENSG00000259216	5.162	4.115	0	7.457	2.12	1.027	4.294	4.184
ENSG00000259217	0	0	0	0	0	0	0	0
ENSG00000259224	5.985	9	11	21.198	9.569	1.02	4	9.357
ENSG00000259227	0	0	0	0	0	0	0	0
ENSG00000259228	1	4	6.001	7.001	3	1	2	2
ENSG00000259229	0	0	0	0	0	0	0	0
ENSG00000259231	0	0	0	0	0	0	0	0
ENSG00000259232	1	4	1	6	3	4	2	3
ENSG00000259236	2.21	5.008	5.366	4.38	1.025	3.108	1.048	6.004
ENSG00000259239	0	0	0.999	0	0	0	0	0
ENSG00000259246	0	0	0	0	0	0	0	0
ENSG00000259247	0	0	0	0	0	0	1	0
ENSG00000259257	0	0	1	1	0	0	0	1
ENSG00000259258	1	3	1	4	2	3	4	2
ENSG00000259259	1	1	2	0	0	0	3	0
ENSG00000259261	0	0	0	0	0	0	0	0
ENSG00000259262	0	0	0	1	1	0	0	1
ENSG00000259266	0	0	0	0	0	0	0	0
ENSG00000259270	0	0	0	0	0	0	0	0
ENSG00000259271	0	1	1.309	0	1	0	0	0
ENSG00000259273	0	0	0	0	1	0	0	0
ENSG00000259286	0	3	1	0	1	1	1	1
ENSG00000259288	0	0	0	0	0	0	0	0
ENSG00000259295	51.194	85.459	71.838	72.206	44.077	74.233	32.962	70.435
ENSG00000259299	0	0	0	0	0	0	0	0
ENSG00000259300	1	0	0	0	2	0	0	0
ENSG00000259301	0	0	0	0	0	0	0	0
ENSG00000259302	0	0	0	0	0	0	0	0
ENSG00000259303	0	0	0	0	0	0	0	0
ENSG00000259304	0	0	0	0	0	0	0	0
ENSG00000259305	74.94	90.953	111.196	92.415	117.752	80.589	106.003	69.82
ENSG00000259308	6.009	7.599	4.005	4.003	8.038	6.019	4.012	7.471
ENSG00000259315	31.058	49.072	47.017	49.996	29.007	62.09	37.048	51
ENSG00000259316	89.965	206.763	232.887	190.973	214.687	145.083	465.329	230.942
ENSG00000259317	0	0	0	0	0	0	0	0
ENSG00000259318	12.022	16.029	18.014	18.013	13.009	15.101	5.011	14.016
ENSG00000259324	0	0	0	0	0	0	0	0
ENSG00000259330	174.269	197	222	231	274	186	193	190
ENSG00000259332	31.919	72.575	75.705	63.796	56.868	72.175	54.38	47.546
ENSG00000259333	0	0	0	0	0	0	0	0
ENSG00000259335	0	5	5	2	3	5	0	2
ENSG00000259337	1.03	7.842	0	3.022	0	0	0	0
ENSG00000259338	1	0	0	0	0	0	0	0
ENSG00000259339	1	0	0	0	0	0	0	0
ENSG00000259340	0	0	0	0	0	0	0	0
ENSG00000259346	0	0	0	0	2	0	0	0
ENSG00000259350	0	0	0	0	0	0	0	0
ENSG00000259358	0	0	0	0	0	0	0	0
ENSG00000259369	0	0	0	0	0	0	0	0
ENSG00000259371	1.693	2	5.388	1.113	1.2	0.869	1.969	4.452
ENSG00000259374	0	0	0	1	0	1	0	0
ENSG00000259378	8	9	7	12	12	3	5	11.012
ENSG00000259379	0	2	0	1	0	0	0	0
ENSG00000259381	9	11	2	14	4	5	3	6
ENSG00000259384	3	0	0	0	1.783	1.011	1	0
ENSG00000259388	1.024	0	0	0	0	0	0	0
ENSG00000259389	1	1	0	0	1	1	0	0
ENSG00000259392	0	0	0	0	1	0	0	0
ENSG00000259393	0	0	0	0	0	0	0	0
ENSG00000259394	2.003	4.008	1.001	2.004	5.765	1.001	1.001	0
ENSG00000259397	1.002	2.003	0	0	0	1.001	0	2.003
ENSG00000259399	29.848	32.407	11.966	36.607	16.936	25.703	30.213	19.508
ENSG00000259404	2.952	13.362	0	13.608	5.315	5.086	1.086	0
ENSG00000259405	0	2	1	4	1	1	1	3
ENSG00000259411	0	2	0	6.001	2	0	0	3.006
ENSG00000259413	0	0	0	1	0	0	0	0
ENSG00000259414	0	2.344	7.773	2.437	0	0	1.788	0
ENSG00000259417	3	2	4	5	5	6	9	5.044
ENSG00000259419	2.01	3.465	2.012	3.02	0	3.022	0	1.005
ENSG00000259421	4	3	7	11.107	3	4	4.01	8
ENSG00000259425	0	2	1	0	6	4.562	5	0
ENSG00000259427	0	0	0	0	0	0	0	0
ENSG00000259428	0	0	0	0	0	0	0	0
ENSG00000259429	87.505	42.028	56.623	108.489	63.18	96.556	76.722	130.995
ENSG00000259431	274.112	470.161	592.22	431.177	498.82	348.609	482.959	448.623
ENSG00000259433	1	3	4	3	0	0	3	1
ENSG00000259435	0	0	0	0	0	0	0	0
ENSG00000259440	3	0	0	0	6	0	0	0
ENSG00000259441	0	0	0	0	0	0	0	0
ENSG00000259449	0	0	0	0	0	0	0	0
ENSG00000259452	0	0	0	0	0	0	0	0
ENSG00000259454	0	0	0	0	0	0	1	0
ENSG00000259461	2	1	1	1	0	0	0	0
ENSG00000259464	0	0	0	0	0	0	0	0
ENSG00000259465	0	0	0	1	0	0	0	0
ENSG00000259466	0	0	0	0	0	0	0	0
ENSG00000259467	0	0	2	0	1	2	1	5
ENSG00000259470	0	1	0	0	0	1	0	0
ENSG00000259477	0	0	0	1	0	0	0	1
ENSG00000259479	709.42	911.266	938.135	789.022	624.768	604.631	1115.11	663.973
ENSG00000259489	0	1	0	0	0	0	0	0
ENSG00000259490	0	1.008	0	0	0	1.524	0	0
ENSG00000259493	0	0	0	1.003	1.003	0	0	0
ENSG00000259494	430.488	579.401	592.895	585.35	453.766	429.089	697.754	520.114
ENSG00000259496	0	0	0	0	0	0	0	0
ENSG00000259500	0	0	0	0	0	0	0	0
ENSG00000259502	3	8	0	4	2	3	2	1
ENSG00000259505	1	0	1	1	1	1	1	1
ENSG00000259507	0	0	0	0	0	0	0	0
ENSG00000259509	0	0	0	0	0	0	0	0
ENSG00000259511	0	1	0	1	0	0	2	2
ENSG00000259512	3	1.04	0	0	0	5	1	2
ENSG00000259513	4	2	0	8	7	2	0	8
ENSG00000259516	1.005	2.018	2.013	3.025	0	1.006	3.027	2.013
ENSG00000259522	33.232	22.323	18.982	62.72	18.498	22.206	87.09	18.356
ENSG00000259525	0	0	0	0	0	0	0	0
ENSG00000259529	50.495	177.774	116.315	193.779	52.906	116.44	275.812	228.081
ENSG00000259531	3.033	1.009	0	1.016	1.007	0	0	1.024
ENSG00000259533	0	0	0	0	0	0.891	0	0
ENSG00000259535	0	0	0	0	0	0	0	0
ENSG00000259538	0	0	0	0	0	0	0	0
ENSG00000259545	0	1	2	1	0	0	2	2
ENSG00000259547	0	1	0	3	2	3	2	2
ENSG00000259550	0	0	0	0	0	0	0	0
ENSG00000259556	8	13	22	20	20	17	24	14
ENSG00000259557	0	0	0	0	0	0	0	0
ENSG00000259558	0	0	0	0	0	0	0	0
ENSG00000259562	25	20	32	41	29	32	33.259	33
ENSG00000259565	0	1	0	0	0	0	0	0
ENSG00000259569	0	0	0	0	0	0	0	0
ENSG00000259570	0	1.86	0	1.228	0	0	0	0
ENSG00000259571	0	0	0	0	0	0	0	0
ENSG00000259573	0	0	0	0	0	0	0	0
ENSG00000259581	4	13.788	13	16	19.004	9	9	6.001
ENSG00000259585	0	1.004	1.003	0	0	1.004	1.002	1.003
ENSG00000259586	0	0	0	0	0	0	0	0
ENSG00000259592	0	3.017	3.014	0	0	2.003	0	2.005
ENSG00000259593	0	0	0	0	0	0	0	0
ENSG00000259600	0	1	0	1	0	0	0	1
ENSG00000259601	0	0	0	0	0	0	0	0
ENSG00000259608	0	0	0	0	0	0	0	0
ENSG00000259609	0	0	0	1	0	1	0	0
ENSG00000259612	20.283	9.481	7.019	12.157	19.046	10.113	11.711	14.038
ENSG00000259614	0	0	0	1	0	0	2	0
ENSG00000259619	1	2.002	1	1	1	0	3	1
ENSG00000259622	0	0	0	0	0	0	0	0
ENSG00000259626	0	0	0	0	0	0	0	0
ENSG00000259630	3.01	5.43	5.02	5.007	8.074	7.056	4.022	8.599
ENSG00000259632	2	5.005	3	2	4	8	2.001	1
ENSG00000259633	0	0	0	1	0	0	0	0
ENSG00000259646	0	0	0	0	0	0	0	0
ENSG00000259648	1	3	2	2	0	2	1	1
ENSG00000259651	0	0	0	0	0	0	0	0
ENSG00000259655	9.411	15.588	29.114	13.587	22.094	37.01	24.097	19.424
ENSG00000259657	6.362	10.871	13.027	5.419	4.234	9.403	3.286	9.455
ENSG00000259658	110.005	100	95.445	89	55	140.054	62	90
ENSG00000259660	69.798	173.555	225.964	243.063	84.607	214.106	214.022	280.526
ENSG00000259665	0	2.522	0	0	0	0	0	0
ENSG00000259671	0	0	0	0	0	0	0	0
ENSG00000259674	180	474	184.311	305.707	209	92	122	312
ENSG00000259677	5	3	6	8.32	7	3	4	3
ENSG00000259680	0	0	0	0	2.252	0	0	0
ENSG00000259683	0	1.01	1.074	9.921	0	1.002	0	0
ENSG00000259686	1	0	0	0	1.001	0	0	0
ENSG00000259688	0	0	0	0	0	1	0	0
ENSG00000259691	0	0	0	0	0	0	0	0
ENSG00000259695	0	0	0	0	0	0	0	0
ENSG00000259696	1.004	1.001	0	2.007	0	0	1.001	0
ENSG00000259698	97.637	191.098	206.339	34.686	4	130.655	54	182.871
ENSG00000259699	7.554	8.265	6.992	7.894	8.876	1.126	5.658	6.378
ENSG00000259706	7.025	3.016	21.109	7.034	12.052	6.024	6.029	14.081
ENSG00000259707	0	0	1	1	0	0	1	1
ENSG00000259710	0	0	1	0	1	0	0	0
ENSG00000259722	0	1	0	1	1	0	0	0
ENSG00000259726	0	4.573	0	9.363	4.308	13.327	5.548	3.852
ENSG00000259728	0	0	3	0	0	0	0	0
ENSG00000259738	1	19.122	10.088	3	0	1	0	0
ENSG00000259742	0	0	0	0	0	0	0	0
ENSG00000259743	0	0	0	0	0	0	0	0
ENSG00000259746	1.031	3.139	3.136	2.064	6.323	6.395	8.463	6.33
ENSG00000259749	0	0	0	0	0	0	0	0
ENSG00000259750	1.004	2.22	3.03	2.013	1.003	3.026	0	2.004
ENSG00000259751	0	2.001	1	5.001	0	3	3	3
ENSG00000259753	0	0	0	0	0	4.693	0	0
ENSG00000259769	0	0	0	0	0	0	0	0
ENSG00000259770	0	0	0	0	0	0	1.001	0
ENSG00000259781	673.104	917.265	1177.455	1215.17	779.66	910.251	2154.259	1037.458
ENSG00000259784	2.249	0	3.963	2.116	0	0	3.322	1.941
ENSG00000259790	0	1.017	0	1.016	1.02	1.026	2.043	1.019
ENSG00000259800	0	0	0	0	0	0	0	0
ENSG00000259803	1	2	9	10	1	0	2	0
ENSG00000259822	0	0	0	0	0	0	0	0
ENSG00000259823	0	0	0	0	0	0	0	1
ENSG00000259832	0	0	0	0	0	0	0	1
ENSG00000259836	0	0	0	0	0	1	0	0
ENSG00000259838	0	0	1.025	0	0	0	0	0
ENSG00000259842	0	0	1.241	0	0	0	0	1.057
ENSG00000259844	0	0	0	0	0	0	0	0
ENSG00000259845	20.732	2.221	67.287	6.088	3.151	5.208	59.373	5.273
ENSG00000259848	17	33.448	23.016	7	9.625	24.808	5.492	29.412
ENSG00000259852	0	0	0	0	0	0	0	0
ENSG00000259856	25.132	21.394	0	26.571	35.133	0	19.443	27.221
ENSG00000259864	0	0	0	0	0	0	0	0
ENSG00000259866	0	1	3	4	1	4	0	2
ENSG00000259873	1	0	0	0	0	0	0	0
ENSG00000259874	0	0	0	0	0	0	0	0
ENSG00000259882	0	2.043	0	2.002	0	0	1.001	1.167
ENSG00000259890	0	0	0	0	0	0	0	0
ENSG00000259892	0	0	0	2.686	0	2.904	3	0
ENSG00000259897	0	0	0	0	0	0	0	0
ENSG00000259900	1.388	0	0	0	0	0	0	0
ENSG00000259904	0	3.824	6	4.583	4	570.009	2	0
ENSG00000259909	0	1.008	1.002	0	2.008	0	0	0
ENSG00000259916	0	0	0	0	0	0	0	0
ENSG00000259917	2.122	3.178	7.456	9.59	16.097	10.741	2.112	12.899
ENSG00000259918	1.641	2.217	1.376	0	0	1.025	0	0
ENSG00000259922	6	4	7	3	4	10	5	3
ENSG00000259924	12.07	8.615	10.914	17.378	10.916	12.922	10.78	5.474
ENSG00000259930	0	0	0	0	0	0	0	0
ENSG00000259931	0	0	0	0	3	0	3	0
ENSG00000259934	0	0	0	0	0	0	0	0
ENSG00000259948	0	38.601	47.601	32.795	33.228	45.246	34.246	29.315
ENSG00000259950	5	1	1	3	1	2	3	1
ENSG00000259956	1202.053	1544.087	1852.739	1820.639	1720.475	1402.375	2744.979	1676.262
ENSG00000259962	0	0	0	0	0	0	0	0
ENSG00000259963	0	0	0	0	0	0	0	0
ENSG00000259966	0	0	0	0	0	1	0	0
ENSG00000259978	0	0	0	0	0	0	0	0
ENSG00000259979	0	0	0	0	0	0	0	0
ENSG00000259982	2	3.067	0	6.234	2	0	2	0
ENSG00000259983	0	1	0	0	0	1	1	0
ENSG00000259984	0	0	0	0	0	0	0	0
ENSG00000259987	0	1	2.217	0	0	0	2	0
ENSG00000259990	0	0	0	0	0	0	0	0
ENSG00000259993	0	0	0	0	0	0	0	0
ENSG00000259996	0	0	0	0	0	0	0	0
ENSG00000259997	0	0	1.01	0	0	0	0	0
ENSG00000260001	6	7	4	5	5	33	7	4
ENSG00000260007	175.072	206.795	254.766	228.447	159.858	287.658	250.128	154.306
ENSG00000260010	0	0	0	1.012	0	0	0	1.018
ENSG00000260012	2	5	5	6.203	2	3	1	2
ENSG00000260014	0	0	1	0	0	0	0	0
ENSG00000260024	0	0	0	0	0	0	0	0
ENSG00000260027	73.414	86.014	118.33	86	95	124	145.213	45.723
ENSG00000260031	0	0	1	0	0	1	0	0
ENSG00000260033	3	2	3	1	1	1	1	1
ENSG00000260036	0	0	0	0	0	2.078	0	0
ENSG00000260047	0	0	0	0	0	0	1.01	0
ENSG00000260048	0	0	0	0	0	0	0	0
ENSG00000260053	0	0	0	0	0	0	0	0
ENSG00000260055	0	0	0	0	0	0	0	0
ENSG00000260062	2	12.793	3	13.466	0	11.265	9	3.185
ENSG00000260067	0	0	0	0	0	0	0	0
ENSG00000260068	0	0	0	0	0	0	0	0
ENSG00000260075	111.193	64.387	15.111	3.077	121.779	0	0	0
ENSG00000260078	3.055	3	5.019	6.002	7.091	6.421	3.028	4.741
ENSG00000260081	3	5.001	12	4	8	11.005	4	12
ENSG00000260082	0	0	0	2	2	0	0	1
ENSG00000260087	0	0	0	0	0	0	0	0
ENSG00000260089	0	0	0	1	0	0	0	0
ENSG00000260092	0	0	0	7.05	0	0	0	0
ENSG00000260096	0	0	0	0	2	0	0	0
ENSG00000260097	79.578	123.511	217.89	143.178	90.059	107.1	113.039	152.003
ENSG00000260103	99.314	210.001	205.055	199.024	211.618	208.802	311.184	203.903
ENSG00000260104	0	0	0	0	0	0	0	0
ENSG00000260105	1.068	1.174	3.14	4.468	2.166	1.134	0	3.514
ENSG00000260109	0	0	0	0	0	0	0	0
ENSG00000260112	0	1	0	1	2	4.773	0	1
ENSG00000260113	0	0	0	0	0	0	0	0
ENSG00000260128	4	8.8	2.027	4.034	7.744	6	3.659	3.565
ENSG00000260133	0	0	0	0	0	0	1.01	0
ENSG00000260134	0	0	0	0	0	0	0	0
ENSG00000260139	12.221	21.895	103.539	4.404	28.88	10.821	0	5.155
ENSG00000260144	0	2	7.819	8.174	4	2	1	3
ENSG00000260146	0	0	0	0	0	0	0	0
ENSG00000260147	0	0	0	0	0	0	0	0
ENSG00000260152	0	2	4	1	2	0	1	2
ENSG00000260153	0	0	0	0	0	0	0	0
ENSG00000260157	0	1	0	1	0	0	0	0
ENSG00000260159	0	0	0	0	0	0	0	0
ENSG00000260161	0	0	0	0	0	0	0	0
ENSG00000260165	0	0	0	0	0	0	0	0
ENSG00000260170	0	2.775	0	2.648	0	0	0	0
ENSG00000260174	0	0	0	0	0	2.026	0	0
ENSG00000260184	0	0	0	0	0	0	0	0
ENSG00000260187	0	1	0	0	1	1	0	0
ENSG00000260207	0	0	0	0	0	0	0	0
ENSG00000260211	0	0	1.02	2.071	0	1.036	0	0
ENSG00000260212	0	0	0	0	0	0	0	0
ENSG00000260218	0	0	0	0	0	0	0	0
ENSG00000260220	7	11	3	11	3	7	6	61.001
ENSG00000260221	0	0	0	0	0	0	0	0
ENSG00000260224	3	1	0	1	0	3	1	0
ENSG00000260229	0	4.01	2.002	5.006	4.004	3.005	5.034	0
ENSG00000260230	11.685	14.325	16.707	14.147	12.005	22.053	7.06	4.069
ENSG00000260234	0	0	1	0	0	0	0	0
ENSG00000260238	17.898	48.391	38.31	52.191	19.27	25.372	55.227	59.486
ENSG00000260240	0	0	0	0	0	0	0	0
ENSG00000260247	0	2	0	1	0	0	0	1
ENSG00000260251	0	0	0	0	0	0	0	0
ENSG00000260255	0	0	0	0	0	0	0	0
ENSG00000260258	0	3	0	0	0	0	1	1
ENSG00000260261	506.607	612.958	658.877	592.222	549.153	1008.354	664.745	549.957
ENSG00000260266	6.153	9.002	6.001	10.289	5.134	12.117	6.243	5.134
ENSG00000260272	0	4.558	0	3.795	5.383	0	0	3.542
ENSG00000260275	0	0	0	0	0	0	0	0
ENSG00000260282	1	1	1	1	0	0	2	2
ENSG00000260284	0	0	0	1	0	0	1	0
ENSG00000260286	2	0	3	0	0	0	0	0
ENSG00000260290	1.041	2.104	1.04	0	3.164	2.099	3.194	1.039
ENSG00000260291	0	0	0	0	0	0	0	0
ENSG00000260298	0	1	0	0	0	0	1	0
ENSG00000260300	9	7	37.027	29.793	11.946	26.338	11.382	21.346
ENSG00000260307	0	0	0	1	0	0	0	0
ENSG00000260308	0	0	0	0	0	0	0	0
ENSG00000260314	0	0	0	0	1	0	2	1
ENSG00000260318	3	2	6	5	4	5	3	4
ENSG00000260325	5	3	9	7	11	4	14	9
ENSG00000260326	0	2.006	0	0	2.002	0	0	0
ENSG00000260327	0	0	0	0	0	0	0	0
ENSG00000260332	0	0	0	0	0	0	0	0
ENSG00000260335	0	0	0	0	0	0	0	0
ENSG00000260341	0	0	0	0	0	0	0	0
ENSG00000260342	0	2.433	8.56	2.46	0	1.806	22.469	5.17
ENSG00000260344	0	0	0	0	0	0	0	0
ENSG00000260347	0	0	1	0	0	0	0	0
ENSG00000260357	1	0	5	1	1	1	0	0
ENSG00000260371	0	0	0	0	0	0	0	0
ENSG00000260375	1	0	0	0	0	0	1	0
ENSG00000260379	0	0	0	0	0	2	0	0
ENSG00000260382	4.028	1.006	21.191	2.021	1	3.026	11.095	5.026
ENSG00000260386	188	345	307	137.001	45	46	68	458
ENSG00000260389	0	1.011	0	0	0	0	0	0
ENSG00000260395	0	1	0	0	0	1	1	0
ENSG00000260399	0	0	0	0	0	0	0	0
ENSG00000260404	572.525	667.435	430.003	927.974	628.216	465.94	719.548	731.372
ENSG00000260405	0	0	0	1.019	0	0	0	0
ENSG00000260410	1	2	1	0	1	1	2	0
ENSG00000260413	10.85	4	9.431	11.512	10	2.027	0	12
ENSG00000260414	0	0	0	0	0	0	0	0
ENSG00000260427	0	0	0	0	0	0	0	0
ENSG00000260428	7	18	13	17	17	21	18	21
ENSG00000260431	0	0	0	0	1	0	0	0
ENSG00000260438	0	0	0	0	0	0	0	0
ENSG00000260443	0	0	0	0	0	0	0	0
ENSG00000260445	0	0	0	0	0	0	0	0
ENSG00000260451	0	0	0	0	0	1	0	0
ENSG00000260452	5	2	0	0	3	0	4	4
ENSG00000260456	70.062	69.738	77.688	91.787	61.682	72.485	122.497	102.009
ENSG00000260458	0	0	0	0	2	0	0	0
ENSG00000260459	0	1	1	0	1	1	0	1
ENSG00000260471	0	0	0	0	0	0	0	0
ENSG00000260472	0	0	0	0	0	0	0	0
ENSG00000260480	0	0	0	0	0	0	0	0
ENSG00000260483	0	0	0	0	0	0	0	0
ENSG00000260490	2.016	6.125	2.032	8.113	7.064	3.032	9.108	6.062
ENSG00000260494	3.024	5.05	2.011	4.061	0	5.023	3.026	2.018
ENSG00000260497	0	0	0	0	0	0	0	0
ENSG00000260514	1	0	0	0	0	0	0	0
ENSG00000260516	0	0	0	0	0	0	0	0
ENSG00000260518	7.335	37.442	12.941	56.421	15.984	17.432	19.637	20.064
ENSG00000260522	0	0	0	0	0	0	0	0
