JL	Control_1	Control_2	Control_3
ENSG00000258484	206	313.995	342	380.001
ENSG00000258485	0	0	0	0
ENSG00000258488	0	0	0	0
ENSG00000258491	0	0	0	0
ENSG00000258493	0	0	0	0
ENSG00000258494	0	0	0	0
ENSG00000258500	0	0	0	0
ENSG00000258501	0	0	0	0
ENSG00000258503	0	0	0	0
ENSG00000258505	0	0	0	0
ENSG00000258506	0	0	0	0
ENSG00000258509	0	0	0	0
ENSG00000258510	0	0	0	0
ENSG00000258513	0	0	0	0
ENSG00000258519	0	0	0	0
ENSG00000258524	0	0	0	0
ENSG00000258527	0	0	0	0
ENSG00000258529	0	0	0	0
ENSG00000258531	0	0	0	0
ENSG00000258536	0	0	0	0
ENSG00000258539	46.929	113.312	54.382	24.39
ENSG00000258540	0	0	0	0
ENSG00000258541	0	0	0	0
ENSG00000258542	0	0	0	0
ENSG00000258543	0	0	0	0
ENSG00000258544	0	0	0	0
ENSG00000258546	0	0	0	0
ENSG00000258549	0	0	0	0
ENSG00000258550	0	0	0	0
ENSG00000258552	0	0	0	0
ENSG00000258555	15.114	33.939	26.937	21.845
ENSG00000258557	0	0	0	0
ENSG00000258562	0	0	0	0
ENSG00000258563	0	0	0	0
ENSG00000258564	0	0	0	0
ENSG00000258565	0	0	4	1
ENSG00000258566	0	0	0	0
ENSG00000258567	0	0	0	0
ENSG00000258568	23.067	55.084	24.001	17.043
ENSG00000258570	0	0	0	0
ENSG00000258571	0	0	0	0
ENSG00000258577	0	0	0	0
ENSG00000258578	0	0	0	0
ENSG00000258581	0	0	0	0
ENSG00000258585	0	0	0	0
ENSG00000258587	0	0	0	0
ENSG00000258588	0	0	0	0
ENSG00000258589	0	119.225	0	0
ENSG00000258590	2	2	21	0
ENSG00000258591	0	0	1	0
ENSG00000258595	0	0	0	0
ENSG00000258597	0	0	0	0
ENSG00000258599	0	0	1	0
ENSG00000258605	0	0	0	0
ENSG00000258608	0	0	0	1.01
ENSG00000258611	0	0	0	4
ENSG00000258613	0	0	0	0
ENSG00000258615	0	0	0	0
ENSG00000258618	0	0	0	0
ENSG00000258619	0	0	0	0
ENSG00000258622	0	0	0	0
ENSG00000258624	0	0	0	0
ENSG00000258625	0	0	0	0
ENSG00000258626	2	0	1	0
ENSG00000258627	0	0	0	0
ENSG00000258628	0	0	0	0
ENSG00000258629	0	0	0	0
ENSG00000258632	0	0	0	0
ENSG00000258635	0	0	0	0
ENSG00000258638	0	0	0	0
ENSG00000258639	0	0	0	0
ENSG00000258640	0	0	0	0
ENSG00000258641	0	0	0	0
ENSG00000258643	189.366	185.86	156.569	206.69
ENSG00000258644	13.577	14.503	98.56	38.299
ENSG00000258645	0	0	0	0
ENSG00000258648	0	0	0	4
ENSG00000258650	0	0	0	0
ENSG00000258653	66.553	93.232	55.098	64.829
ENSG00000258656	0	0	0	0
ENSG00000258659	514.002	892.001	440	425.005
ENSG00000258665	0	0	0	0
ENSG00000258668	0	0	0	0
ENSG00000258671	0	0	0	0
ENSG00000258674	21.528	31.909	50.365	7.278
ENSG00000258677	153.917	242.063	175.076	156.713
ENSG00000258679	0	0	0	0
ENSG00000258680	0	0	0	0
ENSG00000258681	0	0	0	0
ENSG00000258684	0	0	0	3.002
ENSG00000258685	0	0	0	0
ENSG00000258691	14.458	61.571	14.332	7.719
ENSG00000258692	0	0	0	0
ENSG00000258704	10	27	35.001	21
ENSG00000258705	0	0	0	0
ENSG00000258706	0	0	0	0
ENSG00000258707	0	3	0	6
ENSG00000258712	0	0	0	0
ENSG00000258713	0	0	0	0
ENSG00000258721	0	0	0	0
ENSG00000258722	0	0	0	0
ENSG00000258724	0	0	1.868	0
ENSG00000258726	0	0	0	0
ENSG00000258728	8.436	6.199	0	0
ENSG00000258732	0	8	0	1
ENSG00000258734	0	0	0	0
ENSG00000258737	0	0	0	0
ENSG00000258739	0	0	0	2
ENSG00000258741	3.013	11.191	1	1.002
ENSG00000258746	0	0	0	0
ENSG00000258750	0	0	0	0
ENSG00000258758	0	0	0	0
ENSG00000258759	0	1	0	0
ENSG00000258762	0	0	0	0
ENSG00000258764	0	0	0	0
ENSG00000258767	0	0	0	0
ENSG00000258769	0	0	0	0
ENSG00000258771	0	0	0	1.5
ENSG00000258774	0	0	0	0
ENSG00000258778	0	0	0	0
ENSG00000258780	1.009	0	5.03	0
ENSG00000258781	0	0	0	0
ENSG00000258783	0	0	1	0
ENSG00000258787	0	0	0	0
ENSG00000258788	0	2	0	0
ENSG00000258790	158.667	265.453	369.005	258.032
ENSG00000258794	0	0	0	0
ENSG00000258796	0	0	0	0
ENSG00000258797	0	0	0	0
ENSG00000258799	0	0	0	0
ENSG00000258802	0	0	0	0
ENSG00000258805	0	0	0	0
ENSG00000258806	0	0	0	0
ENSG00000258812	0	0	0	0
ENSG00000258816	0	0	0	0
ENSG00000258817	0	0	0	0
ENSG00000258818	3168.669	1441.888	2176.251	1302.905
ENSG00000258822	0	0	0	0
ENSG00000258823	0	0	0	0
ENSG00000258828	0	0	0	0
ENSG00000258830	19.437	4.078	14.658	8.311
ENSG00000258834	0	0	0	0
ENSG00000258835	0	0	0	0
ENSG00000258836	0	0	0	0
ENSG00000258839	296.859	642.467	323.9	477.107
ENSG00000258841	0	0	0	0
ENSG00000258846	0	0	0	0
ENSG00000258848	0	0	0	0
ENSG00000258849	0	0	0	0
ENSG00000258855	0	0	0	0
ENSG00000258856	0	0	0	0
ENSG00000258863	0	0	0	0
ENSG00000258864	0	0	0	0
ENSG00000258870	0	0	0	0
ENSG00000258872	0	0	0	0
ENSG00000258873	0	0	0	4
ENSG00000258877	0	0	0	0
ENSG00000258878	0	0	0	0
ENSG00000258880	0	0	0	0
ENSG00000258881	17.076	16.562	8.553	11.558
ENSG00000258883	0	0	0	0
ENSG00000258886	0	0	0	0
ENSG00000258887	0	0	0	0
ENSG00000258890	1680.15	1660.119	1295.887	1323.076
ENSG00000258893	0	0	0	0
ENSG00000258894	0	0	0	0
ENSG00000258895	0	0	0	0
ENSG00000258896	0	1	1	1
ENSG00000258899	0	0	0	0
ENSG00000258900	0	0	0	0
ENSG00000258901	0	0	0	0
ENSG00000258905	0	0	0	0
ENSG00000258906	0	0	0	0
ENSG00000258907	0	0	0	0
ENSG00000258915	0	0	0	0
ENSG00000258916	0	0	0	0
ENSG00000258917	0	0	0	0
ENSG00000258923	0	0	0	0
ENSG00000258925	0	0	0	0
ENSG00000258930	0	0	0	0
ENSG00000258932	0	0	0	0
ENSG00000258934	0	0	0	0
ENSG00000258947	2961.601	15215.037	6056.297	15006.405
ENSG00000258948	0	0	0	0
ENSG00000258951	1	0	0	0
ENSG00000258956	0	0	0	0
ENSG00000258959	3	0	2	4
ENSG00000258960	0	0	0	0
ENSG00000258962	0	0	0	0
ENSG00000258963	0	0	0	0
ENSG00000258965	0	0	0	0
ENSG00000258966	0	0	0	0
ENSG00000258967	0	0	0	0
ENSG00000258968	0	0	0	0
ENSG00000258971	0	0	0	0
ENSG00000258972	0	0	0	0
ENSG00000258978	0	0	0	0
ENSG00000258980	0	0	0	0
ENSG00000258981	0	0	0	0
ENSG00000258984	9.325	4.874	13.19	1.109
ENSG00000258986	0	2	1	0
ENSG00000258988	0	0	0	0
ENSG00000258989	0	16.603	21.415	12
ENSG00000258990	0	0	0	0
ENSG00000258991	0	0	0	0
ENSG00000258992	0	0	0	0
ENSG00000258993	0	0	0	0
ENSG00000258995	0	0	0	0
ENSG00000258996	0	0	0	0
ENSG00000258997	0	0	0	0
ENSG00000259000	0	0	0	0
ENSG00000259009	0	0	0	0
ENSG00000259010	0	0	0	0
ENSG00000259012	0	0	0	0
ENSG00000259013	0	0	0	0
ENSG00000259015	0	0	1	0
ENSG00000259016	0	0	0	0
ENSG00000259019	0	0	0	0
ENSG00000259020	0	0	0	0
ENSG00000259021	0	0	0	0
ENSG00000259022	0	0	0	0
ENSG00000259024	219.217	189.967	167.725	387.569
ENSG00000259025	0	0	0	0
ENSG00000259029	0	0	0	0
ENSG00000259030	72.677	30.99	37.913	61.25
ENSG00000259032	0	2.038	3.076	0
ENSG00000259040	148.429	0	214.298	95.812
ENSG00000259043	0	0	0	0
ENSG00000259045	0	0	0	0
ENSG00000259046	0	0	0	0
ENSG00000259047	0	0	0	0
ENSG00000259050	0	0	0	0
ENSG00000259051	0	0	0	0
ENSG00000259056	0	0	0	0
ENSG00000259057	0	0	0	0
ENSG00000259059	0	0	0	0
ENSG00000259060	0	0	0	0
ENSG00000259064	0	0	0	0
ENSG00000259066	5.545	2.192	0	17.962
ENSG00000259068	0	0	0	0
ENSG00000259074	0	0	0	0
ENSG00000259075	75.039	149.287	99.146	50.576
ENSG00000259078	2	0	0	0
ENSG00000259079	0	0	0	0
ENSG00000259086	0	0	3.071	0
ENSG00000259089	0	0	0	0
ENSG00000259090	0	0	0	0
ENSG00000259092	0	0	0	0
ENSG00000259095	0	0	0	0
ENSG00000259096	0	0	0	0
ENSG00000259098	0	10	0	0
ENSG00000259099	0	0	0	0
ENSG00000259100	1	0	0	1
ENSG00000259102	0	0	0	0
ENSG00000259105	0	0	0	0
ENSG00000259109	0	0	0	0
ENSG00000259112	72.196	401.157	139.108	117.502
ENSG00000259117	0	0	0	0
ENSG00000259120	0	0	0	0
ENSG00000259121	0	0	0	0
ENSG00000259122	0	0	0	0
ENSG00000259132	0	0	0	0
ENSG00000259136	0	0	0	0
ENSG00000259137	0	0	0	0
ENSG00000259140	0	0	0	0
ENSG00000259144	0	0	0	0
ENSG00000259148	0	0	0	0
ENSG00000259151	0	9	0	0
ENSG00000259154	0	0	0	0
ENSG00000259155	0	0	0	0
ENSG00000259156	0	0	0	0
ENSG00000259157	0	0	0	0
ENSG00000259158	13	36	11	17
ENSG00000259160	0	0	0	0
ENSG00000259161	0	0	0	0
ENSG00000259162	0	0	0	0
ENSG00000259164	0	0	0	0
ENSG00000259165	0	0	0	0
ENSG00000259167	0	0	0	0
ENSG00000259169	0	0	0	0
ENSG00000259171	565.422	297.015	184.3	108.379
ENSG00000259173	0	0	0	0
ENSG00000259179	0	0	0	0
ENSG00000259183	0	0	0	0
ENSG00000259186	1	0	0	0
ENSG00000259191	0	0	0	0
ENSG00000259192	0	0	0	0
ENSG00000259195	0	0	0	0
ENSG00000259205	10	3	6	6
ENSG00000259207	1284.66	573	111	470.125
ENSG00000259208	0	0	0	0
ENSG00000259214	0	0	0	0
ENSG00000259216	0	0	0	0
ENSG00000259217	0	0	0	0
ENSG00000259224	0	0	1	0
ENSG00000259227	0	0	0	0
ENSG00000259228	0	0	0	0
ENSG00000259229	0	0	0	0
ENSG00000259231	0	0	0	0
ENSG00000259232	2	0	3	0
ENSG00000259236	0	0	0	0
ENSG00000259239	0	0	0	0
ENSG00000259246	0	0	0	0
ENSG00000259247	0	0	0	0
ENSG00000259257	0	1	0	0
ENSG00000259258	0	0	0	0
ENSG00000259259	0	0	0	0
ENSG00000259261	0	0	0	0
ENSG00000259262	0	0	0	0
ENSG00000259266	0	0	0	0
ENSG00000259270	0	0	0	0
ENSG00000259271	0	0	0	0
ENSG00000259273	0	0	0	0
ENSG00000259286	0	0	1	0
ENSG00000259288	0	0	0	0
ENSG00000259295	274.415	428.218	751.039	426.255
ENSG00000259299	0	0	0	0
ENSG00000259300	0	1	0	0
ENSG00000259301	0	0	0	0
ENSG00000259302	0	0	0	0
ENSG00000259303	0	0	0	0
ENSG00000259304	0	0	0	0
ENSG00000259305	36.422	64.99	45.841	58.623
ENSG00000259308	0	0	0	0
ENSG00000259315	0	12	7	0
ENSG00000259316	4.264	287.571	3.279	68.87
ENSG00000259317	0	0	0	0
ENSG00000259318	0	8	9	12
ENSG00000259324	0	0	0	0
ENSG00000259330	933.124	2264.189	1977.213	2792.288
ENSG00000259332	181.969	147.094	155.423	166.102
ENSG00000259333	0	0	0	0
ENSG00000259335	0	0	0	0
ENSG00000259337	0	0	0	0
ENSG00000259338	0	0	0	0
ENSG00000259339	0	0	0	0
ENSG00000259340	0	0	0	0
ENSG00000259346	0	0	0	0
ENSG00000259350	0	0	0	0
ENSG00000259358	0	1	0	0
ENSG00000259369	0	0	0	0
ENSG00000259371	5.342	1.01	4.945	2.53
ENSG00000259374	0	0	2	0
ENSG00000259378	2	8	4	4
ENSG00000259379	0	0	0	0
ENSG00000259381	0	0	0	0
ENSG00000259384	0	0	0	0
ENSG00000259388	0	0	0	0
ENSG00000259389	0	0	0	0
ENSG00000259392	3	0	1	1
ENSG00000259393	0	0	0	0
ENSG00000259394	0	0	1	0
ENSG00000259397	0	0	0	0
ENSG00000259399	2.091	11.118	32.909	0
ENSG00000259404	0	1.001	0	0
ENSG00000259405	0	0	0	0
ENSG00000259411	0	0	0	0
ENSG00000259413	0	0	0	0
ENSG00000259414	1.092	0	0	9.36
ENSG00000259417	0	0	0	0
ENSG00000259419	0	0	0	0
ENSG00000259421	0	0	0	0
ENSG00000259425	0	0	0	0
ENSG00000259427	0	0	0	0
ENSG00000259428	0	0	0	0
ENSG00000259429	6.016	15.436	10.119	36.083
ENSG00000259431	976.998	1127.589	1010.525	794.023
ENSG00000259433	0	0	0	0
ENSG00000259435	0	0	0	0
ENSG00000259440	0	0	0	0
ENSG00000259441	0	0	0	0
ENSG00000259449	0	0	0	0
ENSG00000259452	0	0	0	0
ENSG00000259454	0	0	0	0
ENSG00000259461	0	0	0	0
ENSG00000259464	0	0	0	0
ENSG00000259465	0	0	0	0
ENSG00000259466	0	0	0	0
ENSG00000259467	0	2	1	1
ENSG00000259470	0	0	0	0
ENSG00000259477	0	0	0	0
ENSG00000259479	25.265	53.586	47.289	91.185
ENSG00000259489	0	0	0	0
ENSG00000259490	0	0	0	0
ENSG00000259493	0	0	0	0
ENSG00000259494	627.358	1200.218	707.215	832.044
ENSG00000259496	0	0	0	0
ENSG00000259500	0	0	0	0
ENSG00000259502	0	1	0	0
ENSG00000259505	0	0	0	0
ENSG00000259507	0	0	0	0
ENSG00000259509	0	0	0	0
ENSG00000259511	16.698	17.002	29.997	5.143
ENSG00000259512	0	0	0	0
ENSG00000259513	1	0	0	0
ENSG00000259516	0	0	0	0
ENSG00000259522	71.834	47.949	103.097	104.026
ENSG00000259525	0	0	0	0
ENSG00000259529	131.998	67.054	186.829	112.175
ENSG00000259531	1	0	0	0
ENSG00000259533	0	0	0	0
ENSG00000259535	0	0	0	0
ENSG00000259538	0	0	0	0
ENSG00000259545	0	0	0	0
ENSG00000259547	0	0	0	0
ENSG00000259550	0	0	0	0
ENSG00000259556	0	4	2	0
ENSG00000259557	0	0	0	0
ENSG00000259558	0	0	0	0
ENSG00000259562	11	42.016	34	31.001
ENSG00000259565	0	0	0	0
ENSG00000259569	0	0	0	0
ENSG00000259570	0	0	0	0
ENSG00000259571	0	2	5	2
ENSG00000259573	0	0	0	0
ENSG00000259581	0	0	1	4
ENSG00000259585	0	0	2	0
ENSG00000259586	0	0	0	0
ENSG00000259592	1	4	2	1
ENSG00000259593	0	0	0	0
ENSG00000259600	0	0	0	0
ENSG00000259601	0	0	0	0
ENSG00000259608	0	0	0	0
ENSG00000259609	0	0	0	0
ENSG00000259612	0	2	0	1
ENSG00000259614	0	0	0	0
ENSG00000259619	0	0	0	0
ENSG00000259622	0	0	0	0
ENSG00000259626	0	0	0	0
ENSG00000259630	0	0	0	0
ENSG00000259632	0	0	0	0
ENSG00000259633	0	0	0	0
ENSG00000259646	0	0	0	0
ENSG00000259648	1	2	0	0
ENSG00000259651	0	0	0	0
ENSG00000259655	0	0	0	0
ENSG00000259657	0	0	0	0
ENSG00000259658	145	73	106	62
ENSG00000259660	213	484.014	270	230
ENSG00000259665	0	0	0	0
ENSG00000259671	0	0	0	0
ENSG00000259674	0	0	0	0
ENSG00000259677	0	0	0	0
ENSG00000259680	0	0	0	0
ENSG00000259683	0	0	1	0
ENSG00000259686	0	0	0	0
ENSG00000259688	0	0	0	0
ENSG00000259691	0	0	0	0
ENSG00000259695	0	0	0	0
ENSG00000259696	0	0	0	0
ENSG00000259698	0	0	0	0
ENSG00000259699	0	0	0	0
ENSG00000259706	4	8	9	5
ENSG00000259707	0	0	0	0
ENSG00000259710	0	0	0	0
ENSG00000259722	0	0	0	0
ENSG00000259726	121.915	133.15	209.019	144.717
ENSG00000259728	128	215	182	136.026
ENSG00000259738	2	1	0	0
ENSG00000259742	0	0	0	0
ENSG00000259743	0	0	0	0
ENSG00000259746	0	0	1	0
ENSG00000259749	0	0	0	0
ENSG00000259750	0	0	0	0
ENSG00000259751	0	0	3.013	3
ENSG00000259753	6.07	0	0	0
ENSG00000259769	0	0	0	0
ENSG00000259770	0	0	0	0
ENSG00000259781	1916.011	4261.206	2116.11	2607.605
ENSG00000259784	0	1.29	1.589	6.485
ENSG00000259790	0	0	0	0
ENSG00000259800	0	0	0	0
ENSG00000259803	0	0	0	1
ENSG00000259822	0	0	0	0
ENSG00000259823	0	0	0	0
ENSG00000259832	0	0	0	0
ENSG00000259836	0	0	0	0
ENSG00000259838	0	0	0	0
ENSG00000259842	0	0	0	0
ENSG00000259844	0	0	0	0
ENSG00000259845	10.072	7.061	0	9.052
ENSG00000259848	0	0	0	0
ENSG00000259852	0	0	0	0
ENSG00000259856	0	0	0	0
ENSG00000259864	0	0	0	0
ENSG00000259866	0	0	0	0
ENSG00000259873	0	0	0	0
ENSG00000259874	0	0	0	0
ENSG00000259882	0	0	0	0
ENSG00000259890	0	0	0	0
ENSG00000259892	0	0	0	0
ENSG00000259897	0	0	0	0
ENSG00000259900	0	0	3.548	0
ENSG00000259904	0	0	0	0
ENSG00000259909	0	0	0	0
ENSG00000259916	0	0	0	0
ENSG00000259917	36.078	15.029	16.035	17.058
ENSG00000259918	0	0	0	0
ENSG00000259922	0	0	0	0
ENSG00000259924	0	0	0	1
ENSG00000259930	0	0	0	0
ENSG00000259931	0	0	0	0
ENSG00000259934	0	0	0	0
ENSG00000259948	19	0	5	4
ENSG00000259950	0	0	0	0
ENSG00000259956	6353.459	8227.491	4411.404	5319.795
ENSG00000259962	0	0	0	0
ENSG00000259963	0	0	0	0
ENSG00000259966	0	0	0	0
ENSG00000259978	0	0	0	0
ENSG00000259979	0	0	0	0
ENSG00000259982	0	0	0	0
ENSG00000259983	0	0	0	0
ENSG00000259984	0	0	0	0
ENSG00000259987	0	0	0	0
ENSG00000259990	0	0	0	0
ENSG00000259993	0	0	0	0
ENSG00000259996	0	0	0	0
ENSG00000259997	0	0	0	0
ENSG00000260001	37	298.283	162	85.999
ENSG00000260007	147.51	188.629	83.166	156.162
ENSG00000260010	0	0	0	0
ENSG00000260012	0	0	2	0
ENSG00000260014	0	0	0	0
ENSG00000260024	0	0	0	0
ENSG00000260027	336	5	632.993	1581
ENSG00000260031	0	0	0	0
ENSG00000260033	0	0	0	0
ENSG00000260036	0	0	0	0
ENSG00000260047	0	0	0	0
ENSG00000260048	0	0	0	0
ENSG00000260053	0	0	0	0
ENSG00000260055	0	0	0	0
ENSG00000260062	0	0	0	0
ENSG00000260067	0	0	0	0
ENSG00000260068	0	0	0	0
ENSG00000260075	0	26.197	163.338	9.331
ENSG00000260078	2	0	0	0
ENSG00000260081	30	31	9	18
ENSG00000260082	0	0	0	0
ENSG00000260087	0	0	0	0
ENSG00000260089	0	0	0	0
ENSG00000260092	11.241	0	20.115	0
ENSG00000260096	0	0	0	0
ENSG00000260097	0	0	1	0
ENSG00000260103	0	2	1	0
ENSG00000260104	0	0	0	0
ENSG00000260105	0	0	0	0
ENSG00000260109	0	0	0	0
ENSG00000260112	0	0	0	0
ENSG00000260113	0	0	3	0
ENSG00000260128	21.572	26.903	17.145	4.128
ENSG00000260133	0	0	0	0
ENSG00000260134	0	0	0	0
ENSG00000260139	0	0	0	2
ENSG00000260144	0	1	0	1
ENSG00000260146	0	0	0	0
ENSG00000260147	0	0	0	0
ENSG00000260152	0	0	0	0
ENSG00000260153	0	0	0	0
ENSG00000260157	0	0	0	0
ENSG00000260159	0	0	0	0
ENSG00000260161	0	0	0	0
ENSG00000260165	0	0	0	0
ENSG00000260170	2.249	10.571	23.399	0
ENSG00000260174	0	0	0	0
ENSG00000260184	0	0	0	0
ENSG00000260187	0	0	0	1
ENSG00000260207	0	0	0	0
ENSG00000260211	0	0	0	0
ENSG00000260212	0	0	0	0
ENSG00000260218	0	0	0	0
ENSG00000260220	0	2	0	0
ENSG00000260221	0	0	0	0
ENSG00000260224	0	0	0	0
ENSG00000260229	0	0	0	0
ENSG00000260230	40	3	4	19
ENSG00000260234	0	0	0	0
ENSG00000260238	334.697	374.018	292.978	351.946
ENSG00000260240	0	0	0	0
ENSG00000260247	0	0	0	0
ENSG00000260251	0	0	0	0
ENSG00000260255	0	0	0	0
ENSG00000260258	0	0	0	0
ENSG00000260261	96	59	94.999	65
ENSG00000260266	2	0	0	0
ENSG00000260272	2.865	0	18.751	22.374
ENSG00000260275	0	0	0	0
ENSG00000260282	0	0	0	0
ENSG00000260284	0	0	0	0
ENSG00000260286	0	0	1	0
ENSG00000260290	2	0	0	1
ENSG00000260291	0	0	0	0
ENSG00000260298	0	1	0	0
ENSG00000260300	6.657	24.826	26	32
ENSG00000260307	0	0	0	0
ENSG00000260308	0	0	0	0
ENSG00000260314	7	0	2	0
ENSG00000260318	0	0	0	0
ENSG00000260325	1	0	0	0
ENSG00000260326	1	1	2	0
ENSG00000260327	0	0	0	0
ENSG00000260332	0	0	0	0
ENSG00000260335	0	0	0	0
ENSG00000260341	0	0	0	0
ENSG00000260342	7.576	47.985	0	89.798
ENSG00000260344	0	0	0	0
ENSG00000260347	0	0	0	0
ENSG00000260357	0	0	0	0
ENSG00000260371	0	0	0	0
ENSG00000260375	0	0	0	0
ENSG00000260379	0	0	0	0
ENSG00000260382	0	0	0	0
ENSG00000260386	0	0	0	0
ENSG00000260389	0	0	0	0
ENSG00000260395	0	0	0	0
ENSG00000260399	0	0	0	0
ENSG00000260404	221.874	684.801	461.097	420.083
ENSG00000260405	0	0	0	0
ENSG00000260410	0	2	1	0
ENSG00000260413	5	0	1	0
ENSG00000260414	0	0	0	0
ENSG00000260427	0	0	0	0
ENSG00000260428	37	119	156	32
ENSG00000260431	0	0	0	0
ENSG00000260438	0	0	0	0
ENSG00000260443	0	0	0	0
ENSG00000260445	0	0	0	0
ENSG00000260451	0	0	0	0
ENSG00000260452	0	5	1	0
ENSG00000260456	117.523	166.809	68.892	131.669
ENSG00000260458	0	0	0	0
ENSG00000260459	0	0	0	0
ENSG00000260471	0	0	0	0
ENSG00000260472	0	0	0	0
ENSG00000260480	0	0	0	0
ENSG00000260483	0	0	0	0
ENSG00000260490	2	2	5.003	3
ENSG00000260494	0	0	0	0
ENSG00000260497	0	0	0	0
ENSG00000260514	0	0	0	0
ENSG00000260516	0	0	0	0
ENSG00000260518	51	144.001	75.268	90.729
ENSG00000260522	0	0	0	0
ENSG00000260524	0	0	0	0
ENSG00000260525	0	0	0	0
ENSG00000260537	170.618	229.123	1.207	105.723
ENSG00000260538	0	0	0	0
ENSG00000260540	0	0	0	0
ENSG00000260548	0	0	0	0
ENSG00000260549	20	616	143	56
ENSG00000260571	1.117	19.935	22.113	17.233
ENSG00000260576	0	0	0	1
ENSG00000260582	0	0	0	0
ENSG00000260584	0	0	0	0
ENSG00000260590	0	0	0	0
ENSG00000260595	0	0	0	0
ENSG00000260596	0	0	0	0
ENSG00000260598	0	0	0	0
ENSG00000260602	0	0	0	0
ENSG00000260610	0	0	0	0
ENSG00000260615	1	0	0	0
ENSG00000260622	0	0	0	0
ENSG00000260628	0	3.987	13.242	5.525
ENSG00000260631	0	0	0	0
ENSG00000260638	0	0	0	0
ENSG00000260639	0	0	0	0
ENSG00000260643	152.719	73.821	72.601	39.69
ENSG00000260644	15.308	48.582	0	0
ENSG00000260649	0	0	0	0
ENSG00000260660	0	0	0	0
ENSG00000260662	0	0	0	0
ENSG00000260668	0	0	0	0
ENSG00000260674	0	0	0	0
ENSG00000260675	0	0	0	0
ENSG00000260678	0	0	0	0
ENSG00000260680	0	0	0	0
ENSG00000260685	0	0	0	0
ENSG00000260688	0	0	0	0
ENSG00000260689	0	0	0	0
ENSG00000260690	0	0	0	0
ENSG00000260691	4.083	0	12.772	0
ENSG00000260702	0	0	0	0
ENSG00000260714	1	0	5	0
ENSG00000260722	0	0	0	0
ENSG00000260724	0	0	0	0
ENSG00000260726	0	0	0	0
ENSG00000260727	2	3	2	1
ENSG00000260729	296.527	16.651	67.122	0
ENSG00000260731	0	0	0	0
ENSG00000260734	1	0	0	0
ENSG00000260735	8	13	6	5
ENSG00000260746	0	0	0	0
ENSG00000260747	9.016	1.002	2.001	0
ENSG00000260762	0	0	0	0
ENSG00000260764	0	0	0	0
ENSG00000260765	0	0	0	0
ENSG00000260776	0	0	0	3
ENSG00000260781	1.846	0	0	1.306
ENSG00000260782	1	8	3	4
ENSG00000260784	0	0	0	2
ENSG00000260795	0	0	0	0
ENSG00000260797	0	0	0	0
ENSG00000260799	0	0	2	2
ENSG00000260802	0	0	0	0
ENSG00000260809	0	0	0	0
ENSG00000260811	0	0	0	0
ENSG00000260812	0	0	0	0
ENSG00000260815	0	0	2	0
ENSG00000260817	0	0	0	0
ENSG00000260818	5	1	0	0
ENSG00000260828	0	0	0	0
ENSG00000260836	230.407	93.818	123.464	109.137
ENSG00000260844	0	0	0	0
ENSG00000260846	0	0	0	0
ENSG00000260851	1.001	0	4	0
ENSG00000260860	0	0	0	0
ENSG00000260861	0	0	0	0
ENSG00000260863	0	0	0	0
ENSG00000260864	0	0	0	0
ENSG00000260865	0	0	0	0
ENSG00000260866	0	0	0	0
ENSG00000260870	0	0	0	0
ENSG00000260873	0	0	0	0
ENSG00000260882	0	0	0	0
ENSG00000260883	0	0	0	0
ENSG00000260889	0	0	0	0
ENSG00000260897	0	0	0	0
ENSG00000260900	0	0	0	0
ENSG00000260903	0	0	0	0
ENSG00000260908	0	0	0	0
ENSG00000260909	0	0	0	0
ENSG00000260914	1889.25	2501.734	2486.588	2424.595
ENSG00000260916	20721.323	15244.942	23750.444	12367.832
ENSG00000260928	0	0	0	1
ENSG00000260933	0	0	0	0
ENSG00000260939	0	0	0	0
ENSG00000260965	0	0	0	0
ENSG00000260967	0	0	0	0
ENSG00000260984	0	0	0	0
ENSG00000260991	0	0	0	0
ENSG00000260994	0	0	0	0
ENSG00000261007	0	0	0	0
ENSG00000261010	0	0	0	0
ENSG00000261011	11.132	451.768	600.587	170.698
ENSG00000261017	0	0	0	0
ENSG00000261024	0	0	0	0
ENSG00000261040	60	464.002	313.375	310.783
ENSG00000261041	0	0	0	0
ENSG00000261046	0	0	0	0
ENSG00000261047	0	0	0	0
ENSG00000261048	0	0	0	0
ENSG00000261052	234.39	344.234	760.363	301.134
ENSG00000261053	0	0	0	0
ENSG00000261056	2	8	9	4
ENSG00000261072	0	0	0	0
ENSG00000261077	0	0	0	0
ENSG00000261081	0	0	0	0
ENSG00000261084	0	0	0	0
ENSG00000261089	0	0	0	0
ENSG00000261102	0	0	0	0
ENSG00000261108	0	0	0	0
ENSG00000261111	0	0	0	0
ENSG00000261115	3	39	108	61
ENSG00000261127	0	0	0	0
ENSG00000261130	0	1	0	0
ENSG00000261143	3	0	0	4.121
ENSG00000261144	0	0	0	0
ENSG00000261145	0	0	0	0
ENSG00000261147	0	3.001	0	25.15
ENSG00000261150	3	4	41	42
ENSG00000261151	0	0	0	0
ENSG00000261153	0	0	0	0
ENSG00000261174	0	0	0	2
ENSG00000261178	0	0	0	0
ENSG00000261181	0	0	0	0
ENSG00000261192	0	0	0	0
ENSG00000261196	0	0	0	0
ENSG00000261197	0	0	0	0
ENSG00000261199	0	0	0	0
ENSG00000261203	0	0	0	0
ENSG00000261205	0	0	0	0
ENSG00000261208	0	0	0	0
ENSG00000261209	0	0	0	0
